2000
(1, 1646)
(3, 1248)
(5, 1017)
(7, 454)
(8, 533)
(12, 1511)
(13, 540)
(23, 307)
(29, 449)
(43, 749)
(49, 343)
(51, 1805)
(53, 126)
(60, 1600)
(71, 1195)
(73, 644)
(73, 1523)
(75, 1590)
(82, 1633)
(84, 427)
(97, 1723)
(116, 335)
(125, 590)
(125, 816)
(130, 1278)
(133, 1358)
(135, 865)
(135, 1656)
(137, 1905)
(139, 884)
(143, 1288)
(162, 1459)
(166, 1800)
(179, 1670)
(208, 1296)
(209, 830)
(209, 1283)
(209, 1563)
(215, 342)
(218, 366)
(227, 416)
(233, 1957)
(241, 740)
(241, 1071)
(243, 1342)
(244, 1431)
(246, 1857)
(247, 1365)
(251, 682)
(256, 773)
(261, 1530)
(271, 1298)
(278, 1132)
(280, 1980)
(284, 688)
(288, 1594)
(291, 1450)
(297, 359)
(302, 1006)
(302, 1735)
(329, 432)
(332, 1171)
(348, 933)
(349, 765)
(351, 476)
(356, 988)
(379, 1290)
(384, 986)
(397, 1928)
(402, 890)
(407, 1887)
(412, 1367)
(416, 711)
(433, 442)
(444, 1738)
(446, 1696)
(450, 1631)
(451, 714)
(468, 1006)
(472, 586)
(487, 1442)
(495, 721)
(498, 1465)
(509, 726)
(509, 1486)
(538, 1342)
(550, 841)
(550, 873)
(578, 912)
(591, 695)
(596, 948)
(605, 858)
(608, 1627)
(612, 867)
(623, 1608)
(632, 1916)
(650, 834)
(658, 780)
(662, 1382)
(666, 719)
(686, 1849)
(687, 1052)
(695, 858)
(701, 1146)
(710, 1507)
(711, 1318)
(714, 1380)
(726, 851)
(727, 812)
(732, 1579)
(750, 856)
(756, 1792)
(766, 799)
(766, 1699)
(780, 1069)
(786, 1823)
(800, 1501)
(802, 1458)
(805, 1328)
(809, 971)
(829, 1454)
(838, 1437)
(850, 1746)
(852, 1586)
(853, 1196)
(873, 1178)
(875, 1518)
(887, 1883)
(906, 950)
(909, 1265)
(918, 1454)
(929, 1080)
(933, 1806)
(935, 1678)
(941, 1400)
(942, 1763)
(957, 1818)
(972, 1159)
(994, 1276)
(1000, 1184)
(1003, 1713)
(1010, 1309)
(1016, 1078)
(1017, 1595)
(1032, 1449)
(1042, 1573)
(1077, 1152)
(1108, 1970)
(1109, 1924)
(1116, 1443)
(1132, 1587)
(1134, 1311)
(1145, 1716)
(1153, 1518)
(1156, 1384)
(1183, 1769)
(1189, 1832)
(1194, 1855)
(1214, 1489)
(1269, 1301)
(1280, 1504)
(1292, 1763)
(1301, 1719)
(1319, 1677)
(1323, 1455)
(1337, 1402)
(1348, 1395)
(1378, 1890)
(1388, 1876)
(1422, 1806)
(1438, 1971)
(1458, 1911)
(1466, 1515)
(1477, 1902)
(1502, 1631)
(1519, 1713)
(1528, 1925)
(1531, 1853)
(1547, 1651)
(1557, 1862)
(1566, 1967)
(1574, 1964)
(1585, 1647)
(1605, 1911)
(1618, 1956)
(1668, 1817)
(1745, 1782)
(1796, 1818)
(1798, 1961)
