2000
(0, 1)
(0, 110)
(0, 344)
(0, 445)
(0, 719)
(0, 1072)
(0, 1132)
(0, 1290)
(0, 1444)
(0, 1663)
(1, 121)
(1, 703)
(1, 1138)
(1, 1294)
(1, 1430)
(1, 1466)
(1, 1509)
(1, 1883)
(1, 1904)
(2, 48)
(2, 50)
(2, 150)
(2, 216)
(2, 337)
(2, 947)
(2, 1025)
(2, 1255)
(2, 1337)
(2, 1366)
(2, 1444)
(2, 1492)
(2, 1536)
(2, 1569)
(2, 1583)
(2, 1733)
(3, 157)
(3, 161)
(3, 1102)
(3, 1210)
(3, 1518)
(3, 1772)
(3, 1896)
(4, 124)
(4, 125)
(4, 472)
(4, 656)
(4, 905)
(4, 1369)
(4, 1549)
(4, 1605)
(4, 1851)
(4, 1876)
(4, 1998)
(5, 46)
(5, 333)
(5, 384)
(5, 572)
(5, 649)
(5, 709)
(5, 970)
(5, 1136)
(5, 1457)
(5, 1485)
(5, 1614)
(6, 216)
(6, 290)
(6, 372)
(6, 382)
(6, 581)
(6, 630)
(6, 1025)
(6, 1068)
(6, 1213)
(6, 1241)
(6, 1498)
(6, 1937)
(7, 37)
(7, 571)
(7, 588)
(7, 596)
(7, 786)
(7, 895)
(7, 999)
(7, 1107)
(7, 1294)
(7, 1407)
(7, 1600)
(7, 1769)
(7, 1773)
(7, 1777)
(7, 1856)
(7, 1928)
(7, 1969)
(7, 1997)
(8, 51)
(8, 78)
(8, 137)
(8, 457)
(8, 480)
(8, 580)
(8, 1066)
(8, 1328)
(8, 1659)
(8, 1758)
(8, 1777)
(8, 1894)
(9, 144)
(9, 387)
(9, 495)
(9, 836)
(9, 1024)
(9, 1538)
(9, 1829)
(10, 93)
(10, 207)
(10, 379)
(10, 421)
(10, 514)
(10, 518)
(10, 521)
(10, 619)
(10, 795)
(10, 1065)
(10, 1069)
(10, 1187)
(10, 1440)
(10, 1495)
(10, 1538)
(10, 1759)
(10, 1963)
(11, 154)
(11, 627)
(11, 747)
(11, 1156)
(11, 1246)
(11, 1303)
(11, 1969)
(12, 579)
(12, 903)
(12, 1261)
(12, 1269)
(12, 1801)
(13, 378)
(13, 920)
(13, 1151)
(13, 1516)
(13, 1531)
(13, 1610)
(13, 1622)
(13, 1772)
(13, 1813)
(14, 91)
(14, 293)
(14, 742)
(14, 838)
(14, 1039)
(14, 1134)
(14, 1310)
(14, 1477)
(14, 1482)
(14, 1520)
(14, 1639)
(14, 1703)
(15, 232)
(15, 408)
(15, 513)
